name	pool_size	runtime_sec
pools_2k_90b22d4	2088	542.23
pools_2k_9a4973c	2085	533.35
pools_2k_ae3ff17	2085	545.1700000000001
pools_2k_c0324ab	2084	538.0500000000001
pools_2k_c3b566e	2087	551.54
pools_2k_ee62899	2087	552.05
pools_5k_436b6d4	5104	3157.13
pools_5k_723ec54	5103	3130.24
pools_5k_b541af4	5104	3111.82
pools_5k_dc21068	5103	3125.57
pools_4k_497fa64	4118	2286.33
pools_4k_8d7e796	4119	2233.42
pools_4k_95c4dc4	4119	2264.2000000000003
pools_4k_a6abca3	4119	2234.8799999999997
pools_4k_d695816	4119	2247.15
pools_4k_dbcea46	4118	2237.4100000000003
pools_5k_099e93d	5070	3170.49
pools_5k_4ad769b	5069	3118.22
pools_5k_a99bd4b	5070	3132.81
pools_5k_ea7d7a8	5070	3138.72
pairs_8682913	2097	553.6099999999999
pools_2k_07ee6e7	2099	519.76
pools_2k_0871a5c	2100	525.4399999999999
pools_2k_11458ff	2098	545.95
pools_2k_12aa322	2096	534.78
pools_2k_155e359	2097	541.9
pools_2k_1d90b1c	2098	524.2
pools_2k_2c9e1b6	2097	526.9499999999999
pools_2k_39538a4	2098	540.17
pools_2k_3b5b1a8	2099	517.5500000000001
pools_2k_4b283bc	2097	533.72
pools_2k_6b8bdea	2099	535.8000000000001
pools_2k_6ceabe4	2096	532.09
pools_2k_74a52cc	2099	529.22
pools_2k_7b8a473	2098	539.28
pools_2k_94a0e39	2099	548.66
pools_2k_9b2085b	2099	535.91
pools_2k_af2c907	2098	529.64
pools_2k_bd6c929	2097	544.37
pools_2k_c6bd7c6	2098	544.36
pools_2k_ce148df	2097	540.1
pools_2k_d4bda2a	2097	541.4
pools_2k_e31ce7a	2099	545.95
pools_2k_e8490f9	2097	545.25
pools_3k_2853d83	3076	1273.25
pools_3k_32ed47d	3077	1210.7
pools_3k_6e9f796	3075	1218.51
pools_3k_7490f08	3074	1224.96
pools_3k_87e8d2e	3076	1228.91
pools_3k_9943bf7	3074	1241.75
pools_3k_9a3f31a	3075	1206.1100000000001
pools_3k_aec7d90	3076	1192.18
pools_3k_bd6e43a	3074	1229.17
pools_3k_d0287a0	3076	1232.52
pools_3k_edf132a	3077	1234.33
pairs_52d923b	2082	566.14
pairs_9007c64	2083	529.21
pairs_b72a584	2082	527.08
pools_2k_1a8e33b	2082	553.11
pools_2k_225a356	2084	563.49
pools_2k_2e5465e	2081	564.06
pools_2k_3d23bc3	2081	557.65
pools_2k_5b95406	2083	539.72
pools_2k_74758dc	2084	559.03
pools_2k_8b5d0bc	2082	544.36
pools_2k_9244960	2083	555.65
pools_2k_992dec3	2081	546.86
pools_2k_9fefb98	2084	544.53
pools_2k_a634479	2084	532.65
pools_2k_b10cae2	2082	562.89
pools_2k_b29a31e	2083	556.35
pools_2k_bdd1a47	2081	559.84
pools_2k_cb27af0	2083	555.21
pools_2k_d48e88d	2081	543.69
pools_2k_d635f3a	2083	558.13
pools_2k_d7c87b9	2082	549.01
pools_2k_de30fcb	2081	543.87
pools_2k_ed1f084	2083	543.84
